identifier 3,identifier,identifier 2,project_title,project_abstract,project_url,digital_origin,form,object_in_context,public_note,physicalDescription_note,physicalDescription_note 2,subject_geographic 1,subject_geographic 2,subject_geographic 3,subject_geographic 4,subject_geographic 5,item_type,language,title_initial_article,title,rights,collection,collection_identifier,repository,name,record_source,file_thumbnail_URL,date_text,date_single_start,date_range_end,date_qualifier,public_note 2,subject_topical 1,subject_topical 2,subject_topical 3,subject_topical 4,subject_topical 5,subject_name 1,subject_name 2
0012_000603_000242_0001,derris_610,derris:610,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A610,Transcribed from slide mount: Becky Cables Home; Cades Cove,Film type: GEMounts,Camera setting: 7@25 on 7,"Cades Cove (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85018626 | Coordinates: 35.60591, -83.78128","Becky Cable House (Tenn.) | Coordinates: 35.58546, -83.84444",,,,still image,zxx,,Becky Cable House in Cades Cove,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A610/datastream/TN/view/Becky%20Cable%20House%20in%20Cades%20Cove.jpg,1952-10-05,1952-10-05,,,,,,,,,,
0012_000603_000324_0001,derris_692,derris:692,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A692,,Film type: Kodachrome Transparency,,"Laurel Lake (Tenn.) | Coordinates: 35.67074, -83.79572",Townsend,,,,still image,zxx,,Laurel Lake,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A692/datastream/TN/view/Laurel%20Lake.jpg,,,,,,,,,,,,
0012_000603_000243_0001,derris_611,derris:611,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A611,Transcribed from slide mount: Cades Cove- Myers Home; (2-lite) [sp.],Film type: Kodachrome Transparency,Camera setting: 7@50 ∞ on 7,"Cades Cove (Tenn.) | URI: http://id.loc.gov/authorities/subjects/sh85018626 | Coordinates: 35.60591, -83.78128",Myers House,,,,still image,zxx,,Myers House in Cades Cove,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A611/datastream/TN/view/Myers%20House%20in%20Cades%20Cove.jpg,1958-03-16,1958-03-16,,,,,,,,,,
0012_000603_000376_0001,derris_744,derris:744,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A744,Transcribed from slide mount: Rich Mt Rd,Film type: Kodachrome Transparency,Camera setting: 56@25 on ∞,Rich Mountain Road,,,,,still image,zxx,,Rich Mountain Road,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A744/datastream/TN/view/Rich%20Mountain%20Road.jpg,1953-10-23,1953-10-23,,,,,,,,,,
0012_000603_000442_0001,derris_810,derris:810,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A810,Transcribed from slide mount: Miss Margaret Walker oldest Walker Sister; 85 years old; killing a Rattle snake,Film type: Kodachrome Transparency,Camera setting: 7 stop 45@25 at 10ft.,Walker Sisters Cabin,,,,,still image,zxx,,Margaret Walker Killing a Rattlesnake,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A810/datastream/TN/view/Margaret%20Walker%20Killing%20a%20Rattlesnake.jpg,1956-06-25,1956-06-25,,,,,,,,,"Walker, Margaret",
0012_000603_000310_0001,derris_678,derris:678,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A678,Transcribed from slide mount: Fontiana [sp.],Film type: Kodachrome Transparency,,"Fontana Lake (N.C.) | URI: http://id.loc.gov/authorities/subjects/sh2006001393 | Coordinates: 35.42773, -83.65442",,,,,still image,zxx,,Fontana Lake,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A678/datastream/TN/view/Fontana%20Lake.jpg,1960-11-03,1960-11-03,,,,,,,,,,
0012_000603_000319_0001,derris_687,derris:687,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A687,"Transcribed from slide mount: Lurell [sp.] Falls; Mrs Dudley Heath, Elgin, Ill.; abt 3PM",Film type: Kodachrome Transparency,Camera setting: 45@50 ∞ on 45,"Laurel Falls (Tenn.) | Coordinates: 35.67746, -83.59316",,,,,still image,zxx,,Laurel Falls,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A687/datastream/TN/view/Laurel%20Falls.jpg,1957-06-02,1957-06-02,,,,,,,,,,
0012_000603_000265_0001,derris_633,derris:633,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A633,Transcribed from slide mount: Cherokee Orchard,Film type: Kodachrome Transparency,Camera setting: 7@50 ∞ on 7 Plain,"Cherokee Orchard (Tenn.) | Coordinates: 35.67732, -83.48461",,,,,still image,zxx,,Cherokee Orchard,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A633/datastream/TN/view/Cherokee%20Orchard.jpg,1958-10-29,1958-10-29,,,,,,,,,,
0012_000603_000467_0001,derris_835,derris:835,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A835,Transcribed from slide mount: Wears Valley,Film type: Kodachrome Transparency,,"Wear Cove (Tenn.) | Coordinates: 35.73287, -83.60795",,,,,still image,zxx,,Wears Valley,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A835/datastream/TN/view/Wears%20Valley.jpg,1974-10,1974-10,,,,,,,,,,
0012_000603_000534_0001,derris_902,derris:902,William Derris Collection,"William Derris, avid amateur photographer, videographer, and proprietor of the Derris Motel in Townsend, Tennessee, crisscrossed the Great Smoky Mountains by automobile, photographing and filming the iconic locales. His images document seasonal landscapes, flora, wildlife, and the mountain people in Cades Cove, Wears Valley, Clingmans Dome, Little Greenbrier, Fontana, Chimney Tops and other scenery in the Smokies from the mid-1940s to the late 1960s. Using these images, Derris created slide shows for the entertainment of his motel’s numerous guests...",http://digital.lib.utk.edu/collections/derriscollection,digitized other analog,transparencies | http://vocab.getty.edu/aat/300127478,http://digital.lib.utk.edu/collections/islandora/object/derris%3A902,Transcribed from slide mount: Devils Bit on Cades Cove Rd. about 1-mile from tunnel. (Rare),Film type: Kodachrome Transparency,Camera setting: 56@50 at 2.5ft.,Laurel Creek Road,,,,,still image,zxx,,Devils-Bit on Cades Cove Road About 1 Mile from Tunnel.,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.",William Derris Slide Collection,MS.2123,"University of Tennessee, Knoxville. Special Collections","Derris, William | URI: http://id.loc.gov/authorities/names/no2014027636 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/derris%3A902/datastream/TN/view/Devils-Bit%20on%20Cades%20Cove%20Road%20About%201%20Mile%20from%20Tunnel..jpg,1954-05-16,1954-05-16,,,,Fairy Wand,Blazing Star,Senega | http://id.loc.gov/authorities/subjects/sh2008007026,Devils-bit,,,
